Assembly Accession	Organism Name	Organism Infraspecific Names Strain	Organism Infraspecific Names Isolate	Assembly BioSample Accession	Assembly BioSample Strain	Assembly BioSample Isolate	Assembly BioSample Host	Assembly BioSample Geographic location	Assembly BioSample Collection date	Assembly Level	Assembly Sequencing Tech	Assembly Stats Total Sequence Length	Assembly Stats Number of Contigs	Assembly Stats Contig N50
GCA_061355155.1	Fusarium oxysporum		T14	SAMN53359778		T14	Solanum lycopersicum	Australia:Victoria	2023	Scaffold	Illumina NovaSeq	53279029	2868	593721
GCA_061355175.1	Fusarium oxysporum		T13	SAMN53359777		T13	Solanum lycopersicum	Australia:Victoria	2023	Scaffold	Illumina NovaSeq	51739193	2490	597209
GCA_061355215.1	Fusarium oxysporum		T12	SAMN53359776		T12	Solanum lycopersicum	Australia:Victoria	2023	Scaffold	Illumina NovaSeq	55702744	5768	469093
GCA_061355235.1	Fusarium oxysporum		T11	SAMN53359775		T11	Solanum lycopersicum	Australia:Victoria	2023	Scaffold	Illumina NovaSeq	50644842	2084	552327
GCA_061355275.1	Fusarium oxysporum		T10	SAMN53359774		T10	Solanum lycopersicum	Australia:Victoria	2022	Scaffold	Illumina NovaSeq	51138168	1741	568294
GCA_061355315.1	Fusarium oxysporum		T08	SAMN53359772		T08	Solanum lycopersicum	Australia:Victoria	2022	Scaffold	Illumina NovaSeq	50795267	1707	546387
GCA_061355335.1	Fusarium oxysporum		T09	SAMN53359773		T09	Solanum lycopersicum	Australia:Victoria	2022	Scaffold	Illumina NovaSeq	51131704	1761	498282
GCA_061355375.1	Fusarium oxysporum		T07	SAMN53359771		T07	Solanum lycopersicum	Australia:Victoria	2022	Scaffold	Illumina NovaSeq	51128348	1745	545492
GCA_061355415.1	Fusarium oxysporum		T06	SAMN53359770		T06	Solanum lycopersicum	Australia:Victoria	2022	Scaffold	Illumina NovaSeq	53305760	3424	580357
GCA_061355435.1	Fusarium oxysporum		T05	SAMN53359769		T05	Solanum lycopersicum	Australia:Victoria	2022	Scaffold	Illumina NovaSeq	55170719	6728	198413
GCA_061355455.1	Fusarium oxysporum		T03	SAMN53359767		T03	Solanum lycopersicum	Australia:Victoria	2022	Scaffold	Illumina NovaSeq	51591997	2790	521934
GCA_061355515.1	Fusarium oxysporum		T04	SAMN53359768		T04	Solanum lycopersicum	Australia:Victoria	2022	Scaffold	Illumina NovaSeq	54621948	4301	500430
GCA_061355535.1	Fusarium oxysporum		T02	SAMN53359766		T02	Solanum lycopersicum	Australia:Victoria	2022	Scaffold	Illumina NovaSeq	48641878	1083	696565
GCA_061355555.1	Fusarium oxysporum		C01	SAMN53359764		C01	Solanum lycopersicum	Australia:Victoria	2022	Scaffold	Illumina NovaSeq	48664929	979	701818
GCA_061355615.1	Fusarium oxysporum		T01	SAMN53359765		T01	Solanum lycopersicum	Australia:Victoria	2022	Scaffold	Illumina NovaSeq	51977322	2580	556907
GCA_061355635.1	Fusarium oxysporum		16848	SAMN53359763		16848	Solanum lycopersicum	Australia:Queensland	1986	Scaffold	Illumina NovaSeq	52903733	4071	176587
GCA_061355655.1	Fusarium oxysporum		13037	SAMN53359762		13037	Solanum lycopersicum	Australia:Queensland	1979	Scaffold	Illumina NovaSeq	51882863	3147	195672
GCA_900096695.1	Fusarium oxysporum	V64-1		SAMEA4440882	V64-1					Scaffold	Illumina HiSeq	49085590	248	814016
GCA_984579085.1	Fusarium oxysporum			SAMEA122710082			Solanum tuberosum	Slovenia	2021-04	Chromosome	OXFORD_NANOPORE,ILUMINA	50981747	64	4759803
GCA_012922595.1	Fusarium oxysporum f. sp. albedinis	Foa 133		SAMN14484672	Foa 133		date palm (khalt)	Morocco: Tissergate	1985	Contig	Illumina NovaSeq	56228901	3325	131587
GCA_023509805.1	Fusarium oxysporum f. sp. albedinis	9		SAMN16773494	9		not applicable	Morocco: Ziz Valley	missing	Contig	PacBio	65559131	114	2949549
GCA_026229875.1	Fusarium oxysporum f. sp. albedinis	13116		SAMN15892344	13116			missing	2020	Scaffold	Illumina HiSeq	58234281	2975	47742
GCA_032206225.1	Fusarium oxysporum f. sp. albedinis	Foa 44		SAMN15893572	Foa 44		date palm cv. Majhoul	Morocco: Tafilalt-Rissani	1981	Chromosome	Illumina NovaSeq; Oxford Nanopore MinION	65971825	68	2783938
GCA_014843455.1	Fusarium oxysporum f. sp. apii		207.A	SAMN13353349		207.A	Apium graveolens	USA: Santa Maria, Santa Barbara Co., California	2010	Contig	PacBio RSII	64711601	49	3526688
GCA_014843555.1	Fusarium oxysporum f. sp. apii		274.AC	SAMN13353346		274.AC	Apium graveolens	USA: Camarillo, Ventura Co., California	2013	Scaffold	PacBio RSII	67326291	114	4038012
GCA_014843565.1	Fusarium oxysporum f. sp. apii		NRRL38295	SAMN13353348		NRRL38295	Apium graveolens	USA: probably California	missing	Contig	PacBio RSII	65321279	75	4026306
GCA_025203065.1	Fusarium oxysporum f. sp. basilici	VPRI44261		SAMN28868107	VPRI44261		Ocimum basilicum	Australia: Queensland	1994-07	Contig	Illumina NovaSeq	54950697	4728	444423
GCA_025203075.1	Fusarium oxysporum f. sp. basilici	VPRI44262		SAMN28868108	VPRI44262		Ocimum basilicum	Australia: Queensland	1995-01	Contig	Illumina NovaSeq	54883979	4870	390317
GCA_025203115.1	Fusarium oxysporum f. sp. basilici	VPRI44259		SAMN28868105	VPRI44259		Ocimum basilicum	Australia: Queensland	1997-05	Contig	Illumina NovaSeq	48972094	1157	646659
GCA_025203125.1	Fusarium oxysporum f. sp. basilici	VPRI44260		SAMN28868106	VPRI44260		Ocimum basilicum	Australia: Wynnum, Queensland	1994-07	Contig	Illumina NovaSeq	54974456	4797	414995
GCA_025267675.1	Fusarium oxysporum f. sp. basilici	VPRI44210		SAMN28868091	VPRI44210		Ocimum basilicum	Australia: Queensland	1994-07	Contig	Illumina NovaSeq	54967533	4581	373543
GCA_050947165.1	Fusarium oxysporum f. sp. bulbigenum		S55Ac	SAMN47409706		S55Ac		India: Jodhpur	2025-01-04	Scaffold	Illumina NovaSeq	50596136	2225	232182
GCA_050947235.1	Fusarium oxysporum f. sp. bulbigenum		S56Ac	SAMN47409993		S56Ac		India: Jodhpur	2025-01-04	Scaffold	Illumina NovaSeq	51369886	1791	351830
GCA_014770115.1	Fusarium oxysporum f. sp. capsici	14003		SAMN16222760	14003		pepper	China: Guangdong	2010-08-17	Scaffold	Illumina HiSeq	47541829	1154	98506
GCA_016801315.1	Fusarium oxysporum f. sp. capsici	Focpep1		SAMN14667514	Focpep1		Capsicum annuum	China: Fujian Province	2015-09-10	Contig	Oxford Nanopore PromethION	54516562	34	4962668
GCA_003615075.1	Fusarium oxysporum f. sp. cepae	FoC_A23		SAMN05529099	FoC_A23		Allium cepa	United Kingdom: Bedfordshire	2009	Scaffold	Illumina MiSeq	51009701	2001	147378
GCA_003615085.1	Fusarium oxysporum f. sp. cepae	FoC_Fus2		SAMN05529097	FoC_Fus2		Allium cepa	United Kingdom:Lincolnshire	missing	Chromosome	PacBio; Illumina MiSeq	53425788	34	4140032
GCA_003615095.1	Fusarium oxysporum f. sp. cepae	FoC_125		SAMN05529098	FoC_125		Allium cepa	United Kingdom: Lincolnshire	2012	Scaffold	Illumina MiSeq	51407732	2124	128283
GCA_001757345.1	Fusarium oxysporum f. sp. ciceris	38-1		SAMN03614226	38-1		Chickpea	India	2013	Scaffold	Illumina HiSeq	54813009	3549	76660
GCA_054991275.1	Fusarium oxysporum f. sp. ciceris		CCSHAU_FUS_CICERIES	SAMN33576404		CCSHAU_FUS_CICERIES	missing	India: Haryana	missing	Scaffold	Illumina NovaSeq	43108536	691	203539
GCA_001519035.1	Fusarium oxysporum f. sp. conglutinans	1		SAMN04364337	1			Japan	2013-01-01	Scaffold	Illumina MiSeq; GS Junior Roche	52542764	16427	41478
GCA_002711385.1	Fusarium oxysporum f. sp. conglutinans	58385		SAMN07522031	58385		Brassica oleracea	USA: California	1985	Scaffold	Illumina HiSeq	55855453	5304	114068
GCA_002711405.2	Fusarium oxysporum f. sp. conglutinans	FGL03-6		SAMN07522030	FGL03-6		Brassica oleracea	China: Beijing	2009	Scaffold	Illumina HiSeq	61662789	1079	342664
GCA_014154955.1	Fusarium oxysporum f. sp. conglutinans	Fo5176		SAMN15472774	Fo5176		Brassica oleracea	Australia	missing	Chromosome	Illumina NovaSeq; PacBio Sequel	67983296	25	3379530
GCA_014839635.1	Fusarium oxysporum f. sp. conglutinans	IVC-1		SAMN14895550	IVC-1		cabbage	China	2018-10	Scaffold	PacBio Sequel	71184279	64	4586930
GCA_018894095.1	Fusarium oxysporum f. sp. conglutinans	Cong1-1		SAMN10461798	Cong1-1		Brassica oleracea var. capitata	Japan:Tokyo	1990	Scaffold	PacBio Sequel	72150645	524	1120686
GCA_025267625.1	Fusarium oxysporum f. sp. conglutinans	VPRI44253		SAMN28868099	VPRI44253		Brassica oleracea	Australia: Queensland	1971-02-16	Contig	Illumina NovaSeq	56122683	9759	85839
GCA_036785135.1	Fusarium oxysporum f. sp. conglutinans	Fo5176		SAMN35153052	Fo5176		Brassica oleracea	Australia	2021-11	Contig	PacBio HiFi; Hi-C; RNA-seq	70122855	18	4516846
GCA_000222805.1	Fusarium oxysporum f. sp. conglutinans Fo5176	Fo5176		SAMN02981338	Fo5176					Contig	454 GS FLX Titanium	54767602	7858	60340
GCA_000260215.2	Fusarium oxysporum f. sp. conglutinans race 2 54008	54008		SAMN02981380	54008					Scaffold	Illumina	53575352	3350	91328
GCA_014843415.1	Fusarium oxysporum f. sp. coriandrii		3-2	SAMN13353350		3-2	Coriandrum sativum	USA: Camarillo, Ventura Co., California	2016	Contig	PacBio RSII	65404007	49	4988413
GCA_014843445.1	Fusarium oxysporum f. sp. coriandrii		GL306	SAMN13353351		GL306	Coriandrum sativum	USA: Santa Barbara Co., California	2004	Contig	PacBio RSII	65019318	50	4968013
GCA_001696625.1	Fusarium oxysporum f. sp. cubense	C1HIR_9889		SAMN03480624	C1HIR_9889		Musa acuminata	Malaysia: Kuala Terengganu, Terengganu	2013-11-01	Contig	Illumina HiSeq	46703948	1318	86656
GCA_005930515.1	Fusarium oxysporum f. sp. cubense	160527		SAMN11282975	160527		banana	Japan: Okinawa	2016-05-27	Contig	PacBio Sequel	51139495	12	4884632
GCA_007994515.1	Fusarium oxysporum f. sp. cubense	TR4	UK0001	SAMN12340809	TR4	UK0001	Musa sp.	United Kingdom:Cornwall	2018	Contig	PacBio Sequel	48588396	15	4494293
GCA_011316005.3	Fusarium oxysporum f. sp. cubense	TC1-1		SAMN12206558	TC1-1		banana	India: Theni, Tamil Nadu	2016-03-28	Chromosome	Illumina HiSeq	61386710	1362	95416
GCA_014282265.3	Fusarium oxysporum f. sp. cubense	BC2-4		SAMN12206882	BC2-4		banana	India: Bihar	2016-01-25	Chromosome	Illumina HiSeq	63120695	6541	18429
GCA_016802195.1	Fusarium oxysporum f. sp. cubense		VCG0125	SAMN17148606		VCG0125		India	2019	Chromosome	Illumina HiSeq	61382203	1362	95389
GCA_016802205.1	Fusarium oxysporum f. sp. cubense		VCG0120	SAMN17147622		VCG0120		India	2019	Chromosome	Illumina HiSeq	61380681	1362	95327
GCA_021237285.1	Fusarium oxysporum f. sp. cubense	TR4		SAMN20846513	TR4		Musa acuminata	Peru:Querecotillo	2021-04-02	Contig	Oxford Nanopore MinION; Illumina	46361425	115	1636407
GCA_025216845.1	Fusarium oxysporum f. sp. cubense	VPRI44084		SAMN28868131	VPRI44084		Musa acuminata	Australia: Queensland	1982	Contig	Illumina NovaSeq	50208274	2807	283475
GCA_025216865.1	Fusarium oxysporum f. sp. cubense	VPRI44083		SAMN28868130	VPRI44083		Musa acuminata	Australia: Queensland	1982	Contig	Illumina NovaSeq	46282440	666	343745
GCA_025216905.1	Fusarium oxysporum f. sp. cubense	VPRI44079		SAMN28868127	VPRI44079		Musa acuminata	Australia: New South Wales	1978	Contig	Illumina NovaSeq	49541362	1801	324946
GCA_025216935.1	Fusarium oxysporum f. sp. cubense	VPRI44082		SAMN28868129	VPRI44082		Musa acuminata	Australia: Queensland	1982	Contig	Illumina NovaSeq	46282440	666	343745
GCA_025216985.1	Fusarium oxysporum f. sp. cubense	VPRI44081		SAMN28868128	VPRI44081		Musa acuminata	Australia: Queensland	1982	Contig	Illumina NovaSeq	47190006	902	389626
GCA_027920445.1	Fusarium oxysporum f. sp. cubense	race 4		SAMN32610003	race 4		Musa acuminata	China: Hainan	2019-07-18	Complete Genome	PacBio Sequel	46012058	12	5052636
GCA_034509825.1	Fusarium oxysporum f. sp. cubense		Foc-UH	SAMN35992405		Foc-UH	banana	USA: Oahu, Hawaii	2020-08-19	Contig	Illumina NovaSeq	46938737	825	337940
GCA_045838155.1	Fusarium oxysporum f. sp. cubense	C2HIR		SAMN37320067	C2HIR		Musa acuminata	Malaysia: Kuala Terengganu	2013-11-01	Contig	Illumina NovaSeq	44929932	1019	130140
GCA_045838205.1	Fusarium oxysporum f. sp. cubense	C1HIR		SAMN37320068	C1HIR		Musa acuminata	Malaysia: Kuala Terengganu	2013-11-01	Contig	Illumina NovaSeq	46474414	2562	72244
GCA_052818615.1	Fusarium oxysporum f. sp. cubense	Foc_BF11		SAMN50547814	Foc_BF11			India: Cumbum	2023-12-29	Scaffold	Illumina NovaSeq	61455500	1364	96119
GCA_053754955.2	Fusarium oxysporum f. sp. cubense	Tw-R1-1		SAMN48884716	Tw-R1-1		Infected Pisang Awak banana	Taiwan	2013	Chromosome	Illumina MiSeq; Oxford Nanopore MinION	50233457	17	4747746
GCA_053754965.2	Fusarium oxysporum f. sp. cubense	Tw-TR4-1		SAMN48884715	Tw-TR4-1		Infected Cavendish banana	Taiwan	2004	Chromosome	Illumina MiSeq; Oxford Nanopore MinION	48152668	18	4490478
GCA_060230935.1	Fusarium oxysporum f. sp. cubense	TR4	S188	SAMN62368976	TR4	S188	Musa sp.	Bangladesh: Rajbari	2025	Scaffold	Illumina	47700535	6723	219478
GCA_060231055.1	Fusarium oxysporum f. sp. cubense	TR4	S113	SAMN62281868	TR4	S113	Musa sp.	Bangladesh: Jessore	2025	Scaffold	Illumina	49961861	3447	249091
GCA_060231075.1	Fusarium oxysporum f. sp. cubense	TR4	S133	SAMN62368774	TR4	S133	Musa sp.	Bangladesh: Rajshahi	2025	Scaffold	Illumina	50053242	5887	211281
GCA_060231115.1	Fusarium oxysporum f. sp. cubense	TR4	S30	SAMN62198379	TR4	S30	Musa sp. (Banana)	Bangladesh: Bogura	2025	Scaffold	Illumina	46481749	2317	286613
GCA_060231205.1	Fusarium oxysporum f. sp. cubense	TR4	S26	SAMN62071415	TR4	S26	Musa sp. (Banana)	Bangladesh: Kishorganj	2025	Scaffold	Illumina	46515933	2665	236450
GCA_000350345.1	Fusarium oxysporum f. sp. cubense race 1	race 1		SAMN02981460	race 1		Musa ABB Group	China: Hainan	2008-07	Scaffold	Illumina GAIIx	47657417	2185	146026
GCA_016802225.1	Fusarium oxysporum f. sp. cubense race 1		VCG01220	SAMN17146957		VCG01220		India	2019	Chromosome	Illumina HiSeq	61386710	1362	95416
GCA_001702495.1	Fusarium oxysporum f. sp. cucumerinum	Foc013		SAMN04348757	Foc013			China	1999	Scaffold	Illumina HiSeq	48892912	2008	266043
GCA_001702515.1	Fusarium oxysporum f. sp. cucumerinum	Foc001		SAMN04348755	Foc001			Japan	missing	Scaffold	Illumina HiSeq	51394345	2219	195259
GCA_001702545.1	Fusarium oxysporum f. sp. cucumerinum	Foc018		SAMN04348759	Foc018			Greece: Crete	1994	Scaffold	Illumina HiSeq	57435926	5530	164936
GCA_001702555.1	Fusarium oxysporum f. sp. cucumerinum	Foc021		SAMN04348760	Foc021			USA: Florida	1956	Scaffold	Illumina HiSeq	56857404	6264	169057
GCA_001702575.1	Fusarium oxysporum f. sp. cucumerinum	Foc015		SAMN04348758	Foc015			China	1999	Scaffold	Illumina HiSeq	51983016	3048	158531
GCA_001702615.1	Fusarium oxysporum f. sp. cucumerinum	Foc030		SAMN04348761	Foc030			Israel	1995	Scaffold	Illumina HiSeq	56803069	4744	171460
GCA_001702635.1	Fusarium oxysporum f. sp. cucumerinum	Foc037		SAMN04348763	Foc037			Japan	1985	Scaffold	Illumina HiSeq	48396317	2259	178961
GCA_001702655.1	Fusarium oxysporum f. sp. cucumerinum	Foc035		SAMN04348762	Foc035			Netherlands	1979	Scaffold	Illumina HiSeq	51609830	2514	144056
GCA_001703455.1	Fusarium oxysporum f. sp. cucumerinum	Foc011		SAMN04348756	Foc011			China	1999	Scaffold	Illumina HiSeq	48659641	2037	243286
GCA_037126525.1	Fusarium oxysporum f. sp. cyclaminis	CMAA1919		SAMN39596657	CMAA1919			Brazil: Sao Paulo, Holambra	2023-06-23	Contig	Illumina NextSeq	48982532	717	770420
GCA_025216825.1	Fusarium oxysporum f. sp. dianthi	VPRI44080		SAMN28868132	VPRI44080		Dianthus caryophyllus L. cv. Sims	Australia: New South Wales	1976	Contig	Illumina NovaSeq	55836581	5740	282136
GCA_016163805.1	Fusarium oxysporum f. sp. fragariae	SK1		SAMN13064010	SK1		Fragaria x ananassa	South Korea: Chungcheongnam-do province	2001	Scaffold	Illumina HiSeq	55404552	4084	186297
GCA_016163825.1	Fusarium oxysporum f. sp. fragariae	NRF0995b		SAMN13064009	NRF0995b		Fragaria x ananassa	Japan: near Yamatokoriyama city, Nara prefecture	2009	Scaffold	Illumina HiSeq	52098078	1827	427515
GCA_016163845.1	Fusarium oxysporum f. sp. fragariae	NRF0903		SAMN13064008	NRF0903		Fragaria x ananassa	Japan: near Kashihara city, Nara prefecture	2009	Scaffold	Illumina HiSeq	54870735	3438	230510
GCA_016163855.1	Fusarium oxysporum f. sp. fragariae	NRF0833		SAMN13064007	NRF0833		Fragaria x ananassa	Japan: near Asuka city, Nara prefecture	2008	Scaffold	Illumina HiSeq	52032324	1808	402239
GCA_016163875.1	Fusarium oxysporum f. sp. fragariae	NRF0806		SAMN13064006	NRF0806		Fragaria x ananassa	Japan: near Heguri city, Nara prefecture	2008	Scaffold	Illumina HiSeq	54455875	2829	350365
GCA_016163905.1	Fusarium oxysporum f. sp. fragariae	Nasushiobara1		SAMN13064005	Nasushiobara1		Fragaria x ananassa	Japan: near Nasushiobara city, Tochigi prefecture	2008	Scaffold	Illumina HiSeq	53705409	3499	265553
GCA_016163965.1	Fusarium oxysporum f. sp. fragariae	N-18462		SAMN13064003	N-18462		Fragaria x ananassa	Australia: near Wanneroo city, Western Australia province	2009	Scaffold	Illumina HiSeq	53286145	2811	270458
GCA_016163975.1	Fusarium oxysporum f. sp. fragariae	N-17203		SAMN13064002	N-17203		Fragaria x ananassa	Australia: near Stanthorpe city, Queensland province	2008	Contig	Illumina HiSeq	50049385	1679	807470
GCA_016164105.1	Fusarium oxysporum f. sp. fragariae	MAFF744009		SAMN13063996	MAFF744009		Fragaria x ananassa	Japan: Fukuoka prefecture	1985	Scaffold	Illumina HiSeq	53594118	2823	545984
GCA_016164135.1	Fusarium oxysporum f. sp. fragariae	MAFF712071		SAMN13063994	MAFF712071		Fragaria x ananassa	Japan: Mie prefecture	1985	Scaffold	Illumina HiSeq	52678992	2796	264768
GCA_016164145.2	Fusarium oxysporum f. sp. fragariae	MAFF727510		SAMN13063995	MAFF727510		Fragaria x ananassa	Japan: Nara prefecture	1990	Chromosome	PacBio Sequel	57345529	41	4484447
GCA_016165865.1	Fusarium oxysporum f. sp. fragariae	MAFF305558		SAMN13063993	MAFF305558		Fragaria x ananassa	Japan	1987	Scaffold	Illumina HiSeq	53230243	2599	316999
GCA_016165915.1	Fusarium oxysporum f. sp. fragariae	MAFF305557		SAMN13063992	MAFF305557		Fragaria x ananassa	Japan	1987	Scaffold	Illumina HiSeq	53425976	2688	312989
GCA_016165935.1	Fusarium oxysporum f. sp. fragariae	GL945		SAMN13063991	GL945		Fragaria x ananassa	USA: near Salinas city, California	2012	Contig	Illumina HiSeq	53057356	2846	273600
GCA_016166065.1	Fusarium oxysporum f. sp. fragariae	GL1517		SAMN13063984	GL1517		Fragaria x ananassa	USA: near Watsonville city, California	2015	Scaffold	Illumina HiSeq	54298159	2564	338340
GCA_016166085.1	Fusarium oxysporum f. sp. fragariae	GL1385		SAMN13063983	GL1385		Fragaria x ananassa	USA: near Santa Barbara city, California	2012	Scaffold	Illumina HiSeq	53245687	2851	270455
GCA_016166095.2	Fusarium oxysporum f. sp. fragariae	GL1315		SAMN13063981	GL1315		Fragaria x ananassa	USA: near Santa Maria city, California	2011	Chromosome	Illumina HiSeq; PacBio RSII; Illumina NovaSeq	56135852	177	3688363
GCA_016166105.1	Fusarium oxysporum f. sp. fragariae	GL1270		SAMN13063980	GL1270		Fragaria x ananassa	USA: near Oxnard city, California	2011	Scaffold	Illumina HiSeq	54314314	2597	343044
GCA_016166135.1	Fusarium oxysporum f. sp. fragariae	GL1268		SAMN13063979	GL1268		Fragaria x ananassa	USA: near Oxnard city, California	2011	Scaffold	Illumina HiSeq	52108380	1842	291997
GCA_016166175.1	Fusarium oxysporum f. sp. fragariae	GL1150		SAMN13063978	GL1150		Fragaria x ananassa	USA: near Oxnard city, California	2009	Scaffold	Illumina HiSeq	53086187	2507	270458
GCA_016166195.1	Fusarium oxysporum f. sp. fragariae	GL1059		SAMN13063976	GL1059		Fragaria x ananassa	USA: near Oxnard city, California	2008	Scaffold	Illumina HiSeq	54465168	2892	345094
GCA_016166215.1	Fusarium oxysporum f. sp. fragariae	Fus08-78		SAMN13063974	Fus08-78		Fragaria x ananassa	USA: near Ventura city, California	2008	Contig	Illumina HiSeq	53144989	2487	274023
GCA_016166225.1	Fusarium oxysporum f. sp. fragariae	F79		SAMN13063973	F79		Fragaria x ananassa	Spain: near Huelva city, Andalusia region	2014	Scaffold	Illumina HiSeq	57371764	5583	218950
GCA_016166245.1	Fusarium oxysporum f. sp. fragariae	F74		SAMN13063972	F74		Fragaria x ananassa	Spain: near Huelva city, Andalusia region	2014	Scaffold	Illumina HiSeq	57814691	5962	249286
GCA_016166285.1	Fusarium oxysporum f. sp. fragariae	BRIP63546a		SAMN13063971	BRIP63546a		Fragaria x ananassa	Australia: near Thornlands city, Queensland province	1983	Contig	Illumina HiSeq	48011741	457	624892
GCA_016166325.2	Fusarium oxysporum f. sp. fragariae	BRIP62122a		SAMN13063970	BRIP62122a		Fragaria x ananassa	Australia: near Palmview City, Queensland province	2002	Chromosome	PacBio Sequel	51480125	29	4951078
GCA_016166335.1	Fusarium oxysporum f. sp. fragariae	BRIP62106a		SAMN13063968	BRIP62106a		Fragaria x ananassa	Australia: near Wamuran city, Queensland province	2005	Scaffold	Illumina HiSeq	50502586	1084	353752
GCA_016166345.1	Fusarium oxysporum f. sp. fragariae	BRIP62109a		SAMN13063969	BRIP62109a		Fragaria x ananassa	Australia: near Wanneroo city, Western Australia province	2006	Scaffold	Illumina HiSeq	53550747	3168	277280
GCA_016166365.1	Fusarium oxysporum f. sp. fragariae	BRIP53855a		SAMN13063967	BRIP53855a		Fragaria x ananassa	Australia: near Palmview city, Queensland province	2002	Scaffold	Illumina HiSeq	51259401	2247	376912
GCA_016166385.1	Fusarium oxysporum f. sp. fragariae	BRIP5168a		SAMN13063966	BRIP5168a		Fragaria x ananassa	Australia: near Brisbane city, Queensland province	1962	Scaffold	Illumina HiSeq	47912063	433	623951
GCA_016166395.1	Fusarium oxysporum f. sp. fragariae	160618		SAMN13063965	160618		Fragaria x ananassa	South Korea: near Hongseong city, Chungcheongnam-do province	2016	Scaffold	Illumina HiSeq	54303119	3370	189988
GCA_016166415.1	Fusarium oxysporum f. sp. fragariae	160609		SAMN13063964	160609		Fragaria x ananassa	South Korea: near Nonsan city, Chungcheongnam-do province	2016	Scaffold	Illumina HiSeq	53718512	2983	389188
GCA_016167825.1	Fusarium oxysporum f. sp. fragariae	80701		SAMN13063963	80701		Fragaria x ananassa	South Korea: near Ganghwa city, Gyeonggi-do province	2008	Scaffold	Illumina HiSeq	54279971	3091	280240
GCA_016170085.2	Fusarium oxysporum f. sp. fragariae	GL1080		SAMN13063977	GL1080		Fragaria x ananassa	USA: near Oxnard city, California	2008	Chromosome	PacBio RSII	55705793	62	4274666
GCA_016170095.2	Fusarium oxysporum f. sp. fragariae	GL1381		SAMN13063982	GL1381		Fragaria x ananassa	USA: near San Luis Obispo city, California	2012	Chromosome	PacBio RSII	56921745	59	4363800
GCA_025217145.1	Fusarium oxysporum f. sp. fragariae	VPRI44271		SAMN28868117	VPRI44271		Fragaria x ananassa	Australia: WA	missing	Contig	Illumina NovaSeq	52799610	3130	260204
GCA_025267615.1	Fusarium oxysporum f. sp. fragariae	VPRI44208		SAMN28868096	VPRI44208		Fragaria x ananassa	Australia: Queensland	1989-05-04	Contig	Illumina NovaSeq	54213515	1763	291216
GCA_025267655.1	Fusarium oxysporum f. sp. fragariae	VPRI44209		SAMN28868097	VPRI44209		Fragaria x ananassa	Australia: Queensland	2009-02-06	Contig	Illumina NovaSeq	47680970	539	374894
GCA_055682665.1	Fusarium oxysporum f. sp. fragariae	CT114		SAMN52039312	CT114		Fragaria x ananassa	USA: Connecticut	2024	Scaffold	Illumina NovaSeq	51520403	1550	222468
GCA_055682725.1	Fusarium oxysporum f. sp. fragariae	CT113		SAMN52039311	CT113		Fragaria x ananassa	USA: Connecticut	2024	Scaffold	Illumina NovaSeq	51113089	922	340741
GCA_055682765.1	Fusarium oxysporum f. sp. fragariae	CT119		SAMN52039313	CT119		Fragaria x ananassa	USA: Connecticut	2024	Scaffold	Illumina NovaSeq	52835687	1526	239128
GCA_055682805.1	Fusarium oxysporum f. sp. fragariae	CT120		SAMN52039314	CT120		Fragaria x ananassa	USA: Connecticut	2024	Scaffold	Illumina NovaSeq	52892937	1532	277951
GCA_059056295.1	Fusarium oxysporum f. sp. fragariae	H6		SAMN50931040	H6		strawberry	China:Zhejiang	2022-10	Contig	PacBio	57033645	80	4498116
GCA_002233895.1	Fusarium oxysporum f. sp. gladioli	G2		SAMN07201013	G2			France	missing	Scaffold	Illumina HiSeq	53227347	4194	271822
GCA_002233915.1	Fusarium oxysporum f. sp. gladioli	G14		SAMN07201012	G14			Netherlands	missing	Scaffold	Illumina HiSeq	56328106	4715	227098
GCA_002234195.1	Fusarium oxysporum f. sp. gladioli	G76		SAMN07201014	G76			Italy	missing	Scaffold	Illumina HiSeq	56132059	5188	212397
GCA_014857105.1	Fusarium oxysporum f. sp. koae		44	SAMN14669696		44	Acacia koa	USA: Hawaii, Hawaii	2005	Chromosome	Illumina Truseq	48133132	310	4223514
GCA_045786735.1	Fusarium oxysporum f. sp. lactucae		VSP-0794	SAMN43189531		VSP-0794	Lactuca sativa	USA: Salinas, California	2021	Scaffold	Illumina NovaSeq	52977320	4432	268553
GCA_045786885.1	Fusarium oxysporum f. sp. lactucae		VSP-0916	SAMN43189530		VSP-0916	Lactuca sativa	USA: Santa Maria, California	2022	Scaffold	Illumina NovaSeq	55159327	5104	236996
GCA_045786925.1	Fusarium oxysporum f. sp. lactucae		Fol621s	SAMN43189529		Fol621s	Lactuca sativa	USA: Salinas, California	2021	Scaffold	Illumina NovaSeq	53800665	5184	238845
GCA_045786945.1	Fusarium oxysporum f. sp. lactucae		Fol621	SAMN43189528		Fol621	Lactuca sativa	USA: Salinas, California	2021	Scaffold	Illumina NovaSeq	54417758	4898	269800
GCA_045786965.1	Fusarium oxysporum f. sp. lactucae		Fol321	SAMN43189527		Fol321	Lactuca sativa	USA: Salinas, California	2021	Scaffold	Illumina NovaSeq	53906324	4728	253788
GCA_045837815.1	Fusarium oxysporum f. sp. lactucae	AJ865		SAMN40926578	AJ865		Lactuca sativa	missing	missing	Contig	Oxford Nanopore GridION	62786185	38	2783948
